NAME,B19113A_001E,state,county,year
"Wake County, North Carolina",108117.0,37,183,2018
"Yancey County, North Carolina",52426.0,37,199,2018
"Chatham County, North Carolina",91325.0,37,037,2018
"McDowell County, North Carolina",51051.0,37,111,2018
"Johnston County, North Carolina",68793.0,37,101,2018
"Jones County, North Carolina",54265.0,37,103,2018
"Person County, North Carolina",71307.0,37,145,2018
"Brunswick County, North Carolina",69652.0,37,019,2018
"Ashe County, North Carolina",53312.0,37,009,2018
"Beaufort County, North Carolina",67668.0,37,013,2018
"Lenoir County, North Carolina",57748.0,37,107,2018
"Rutherford County, North Carolina",52780.0,37,161,2018
"Lincoln County, North Carolina",65408.0,37,109,2018
"Onslow County, North Carolina",57744.0,37,133,2018
"Orange County, North Carolina",108694.0,37,135,2018
"Sampson County, North Carolina",54364.0,37,163,2018
"Yadkin County, North Carolina",55039.0,37,197,2018
"Avery County, North Carolina",48760.0,37,011,2018
"Burke County, North Carolina",55695.0,37,023,2018
"Caswell County, North Carolina",67549.0,37,033,2018
"Davie County, North Carolina",73295.0,37,059,2018
"Duplin County, North Carolina",54784.0,37,061,2018
"Durham County, North Carolina",93498.0,37,063,2018
"Lee County, North Carolina",63424.0,37,105,2018
"New Hanover County, North Carolina",78987.0,37,129,2018
"Wayne County, North Carolina",62546.0,37,191,2018
"Scotland County, North Carolina",57746.0,37,165,2018
"Halifax County, North Carolina",59167.0,37,083,2018
"Alamance County, North Carolina",69170.0,37,001,2018
"Burke County, North Dakota",90179.0,38,013,2018
"Mountrail County, North Dakota",88958.0,38,061,2018
"Williams County, North Dakota",111861.0,38,105,2018
"Billings County, North Dakota",106964.0,38,007,2018
"Kidder County, North Dakota",63092.0,38,043,2018
"Cavalier County, North Dakota",82984.0,38,019,2018
"Grant County, North Dakota",72250.0,38,037,2018
"Pembina County, North Dakota",83274.0,38,067,2018
"Steele County, North Dakota",81042.0,38,091,2018
"Hettinger County, North Dakota",68472.0,38,041,2018
"LaMoure County, North Dakota",77619.0,38,045,2018
"Morton County, North Dakota",92975.0,38,059,2018
"Cass County, North Dakota",87786.0,38,017,2018
"Dunn County, North Dakota",102591.0,38,025,2018
"Emmons County, North Dakota",61950.0,38,029,2018
"McIntosh County, North Dakota",65417.0,38,051,2018
"Nelson County, North Dakota",73788.0,38,063,2018
"Richland County, North Dakota",78626.0,38,077,2018
"Rolette County, North Dakota",75313.0,38,079,2018
"Walsh County, North Dakota",72107.0,38,099,2018
"Adams County, North Dakota",77500.0,38,001,2018
"Bottineau County, North Dakota",76818.0,38,009,2018
"Barnes County, North Dakota",80655.0,38,003,2018
"Eddy County, North Dakota",76875.0,38,027,2018
"Grand Forks County, North Dakota",83152.0,38,035,2018
"McKenzie County, North Dakota",98185.0,38,053,2018
"Mercer County, North Dakota",93568.0,38,057,2018
"McLean County, North Dakota",80878.0,38,055,2018
"Pierce County, North Dakota",65069.0,38,069,2018
"Ransom County, North Dakota",73984.0,38,073,2018
"Sioux County, North Dakota",85000.0,38,085,2018
"Bowman County, North Dakota",89489.0,38,011,2018
"Golden Valley County, North Dakota",70833.0,38,033,2018
"Logan County, North Dakota",72031.0,38,047,2018
"Towner County, North Dakota",74236.0,38,095,2018
"Stutsman County, North Dakota",76764.0,38,093,2018
"Divide County, North Dakota",96875.0,38,023,2018
"Foster County, North Dakota",78438.0,38,031,2018
"Sargent County, North Dakota",83750.0,38,081,2018
"Slope County, North Dakota",72857.0,38,087,2018
"Stark County, North Dakota",99061.0,38,089,2018
"Gallia County, Ohio",58510.0,39,053,2018
"Huron County, Ohio",62353.0,39,077,2018
"Athens County, Ohio",59308.0,39,009,2018
"Adams County, Ohio",46924.0,39,001,2018
"Medina County, Ohio",91103.0,39,103,2018
"Union County, Ohio",92447.0,39,159,2018
"Champaign County, Ohio",67302.0,39,021,2018
"Paulding County, Ohio",65786.0,39,125,2018
"Greene County, Ohio",88690.0,39,057,2018
"Franklin County, Ohio",85828.0,39,049,2018
"Marion County, Ohio",58140.0,39,101,2018
"Morgan County, Ohio",50286.0,39,115,2018
"Wayne County, Ohio",66972.0,39,169,2018
"Wyandot County, Ohio",64352.0,39,175,2018
"Butler County, Ohio",82270.0,39,017,2018
"Harrison County, Ohio",58116.0,39,067,2018
"Knox County, Ohio",64398.0,39,083,2018
"Richland County, Ohio",61339.0,39,139,2018
"Vinton County, Ohio",54467.0,39,163,2018
"Hancock County, Ohio",73069.0,39,063,2018
"Fairfield County, Ohio",80102.0,39,045,2018
"Defiance County, Ohio",68859.0,39,039,2018
"Henry County, Ohio",70572.0,39,069,2018
"Jefferson County, Ohio",58110.0,39,081,2018
"Putnam County, Ohio",76869.0,39,137,2018
"Clinton County, Ohio",63041.0,39,027,2018
"Fayette County, Ohio",54950.0,39,047,2018
"Pickaway County, Ohio",73725.0,39,129,2018
"Logan County, Ohio",68703.0,39,091,2018
"Summit County, Ohio",78212.0,39,153,2018
"Sandusky County, Ohio",65279.0,39,143,2018
