NAME,B19301D_001E,state,county,year
"Forsyth County, North Carolina",30163.0,37,067,2018
"Nash County, North Carolina",40693.0,37,127,2018
"Bladen County, North Carolina",,37,017,2018
"Dare County, North Carolina",42160.0,37,055,2018
"Warren County, North Carolina",13291.0,37,185,2018
"Wilson County, North Carolina",32132.0,37,195,2018
"Bertie County, North Carolina",16261.0,37,015,2018
"Gates County, North Carolina",11011.0,37,073,2018
"Graham County, North Carolina",-666666666.0,37,075,2018
"Martin County, North Carolina",25106.0,37,117,2018
"Madison County, North Carolina",11430.0,37,115,2018
"Pamlico County, North Carolina",20420.0,37,137,2018
"Perquimans County, North Carolina",,37,143,2018
"Polk County, North Carolina",16956.0,37,149,2018
"Randolph County, North Carolina",13512.0,37,151,2018
"Rockingham County, North Carolina",16222.0,37,157,2018
"Stokes County, North Carolina",19906.0,37,169,2018
"Washington County, North Carolina",,37,187,2018
"Camden County, North Carolina",13081.0,37,029,2018
"Clay County, North Carolina",,37,043,2018
"Cumberland County, North Carolina",26543.0,37,051,2018
"Gaston County, North Carolina",31377.0,37,071,2018
"Guilford County, North Carolina",26162.0,37,081,2018
"Jackson County, North Carolina",8921.0,37,099,2018
"Moore County, North Carolina",35967.0,37,125,2018
"Robeson County, North Carolina",23238.0,37,155,2018
"Stanly County, North Carolina",19005.0,37,167,2018
"Wake County, North Carolina",41801.0,37,183,2018
"Yancey County, North Carolina",8595.0,37,199,2018
"Chatham County, North Carolina",88091.0,37,037,2018
"McDowell County, North Carolina",48803.0,37,111,2018
"Johnston County, North Carolina",24842.0,37,101,2018
"Jones County, North Carolina",,37,103,2018
"Person County, North Carolina",24407.0,37,145,2018
"Brunswick County, North Carolina",30755.0,37,019,2018
"Ashe County, North Carolina",13666.0,37,009,2018
"Beaufort County, North Carolina",,37,013,2018
"Lenoir County, North Carolina",16886.0,37,107,2018
"Rutherford County, North Carolina",12352.0,37,161,2018
"Lincoln County, North Carolina",39464.0,37,109,2018
"Onslow County, North Carolina",22656.0,37,133,2018
"Orange County, North Carolina",36222.0,37,135,2018
"Sampson County, North Carolina",23280.0,37,163,2018
"Yadkin County, North Carolina",,37,197,2018
"Avery County, North Carolina",10785.0,37,011,2018
"Burke County, North Carolina",18899.0,37,023,2018
"Caswell County, North Carolina",38397.0,37,033,2018
"Davie County, North Carolina",20802.0,37,059,2018
"Duplin County, North Carolina",9623.0,37,061,2018
"Durham County, North Carolina",38927.0,37,063,2018
"Lee County, North Carolina",31244.0,37,105,2018
"New Hanover County, North Carolina",39118.0,37,129,2018
"Wayne County, North Carolina",29105.0,37,191,2018
"Scotland County, North Carolina",16054.0,37,165,2018
"Halifax County, North Carolina",64334.0,37,083,2018
"Alamance County, North Carolina",23146.0,37,001,2018
"Burke County, North Dakota",-666666666.0,38,013,2018
"Mountrail County, North Dakota",20917.0,38,061,2018
"Williams County, North Dakota",38032.0,38,105,2018
"Billings County, North Dakota",-666666666.0,38,007,2018
"Kidder County, North Dakota",,38,043,2018
"Cavalier County, North Dakota",-666666666.0,38,019,2018
"Grant County, North Dakota",,38,037,2018
"Pembina County, North Dakota",74560.0,38,067,2018
"Steele County, North Dakota",-666666666.0,38,091,2018
"Hettinger County, North Dakota",-666666666.0,38,041,2018
"LaMoure County, North Dakota",-666666666.0,38,045,2018
"Morton County, North Dakota",13785.0,38,059,2018
"Cass County, North Dakota",33133.0,38,017,2018
"Dunn County, North Dakota",31729.0,38,025,2018
"Emmons County, North Dakota",14582.0,38,029,2018
"McIntosh County, North Dakota",77089.0,38,051,2018
"Nelson County, North Dakota",,38,063,2018
"Richland County, North Dakota",10370.0,38,077,2018
"Rolette County, North Dakota",13865.0,38,079,2018
"Walsh County, North Dakota",20127.0,38,099,2018
"Adams County, North Dakota",15212.0,38,001,2018
"Bottineau County, North Dakota",,38,009,2018
"Barnes County, North Dakota",,38,003,2018
"Eddy County, North Dakota",-666666666.0,38,027,2018
"Grand Forks County, North Dakota",31471.0,38,035,2018
"McKenzie County, North Dakota",,38,053,2018
"Mercer County, North Dakota",49144.0,38,057,2018
"McLean County, North Dakota",,38,055,2018
"Pierce County, North Dakota",54730.0,38,069,2018
"Ransom County, North Dakota",30962.0,38,073,2018
"Sioux County, North Dakota",-666666666.0,38,085,2018
"Bowman County, North Dakota",-666666666.0,38,011,2018
"Golden Valley County, North Dakota",-666666666.0,38,033,2018
"Logan County, North Dakota",,38,047,2018
"Towner County, North Dakota",,38,095,2018
"Stutsman County, North Dakota",23304.0,38,093,2018
"Divide County, North Dakota",,38,023,2018
"Foster County, North Dakota",,38,031,2018
"Sargent County, North Dakota",5443.0,38,081,2018
"Slope County, North Dakota",-666666666.0,38,087,2018
"Stark County, North Dakota",10870.0,38,089,2018
"Gallia County, Ohio",33279.0,39,053,2018
"Huron County, Ohio",18912.0,39,077,2018
"Athens County, Ohio",19785.0,39,009,2018
"Adams County, Ohio",,39,001,2018
"Medina County, Ohio",37402.0,39,103,2018
"Union County, Ohio",57001.0,39,159,2018
"Champaign County, Ohio",22771.0,39,021,2018
"Paulding County, Ohio",34095.0,39,125,2018
"Greene County, Ohio",40460.0,39,057,2018
"Franklin County, Ohio",30577.0,39,049,2018
"Marion County, Ohio",43875.0,39,101,2018
"Morgan County, Ohio",37666.0,39,115,2018
"Wayne County, Ohio",37026.0,39,169,2018
"Wyandot County, Ohio",22375.0,39,175,2018
"Butler County, Ohio",32879.0,39,017,2018
"Harrison County, Ohio",,39,067,2018
"Knox County, Ohio",20441.0,39,083,2018
"Richland County, Ohio",46100.0,39,139,2018
"Vinton County, Ohio",,39,163,2018
"Hancock County, Ohio",31075.0,39,063,2018
"Fairfield County, Ohio",25632.0,39,045,2018
"Defiance County, Ohio",62893.0,39,039,2018
"Henry County, Ohio",23594.0,39,069,2018
"Jefferson County, Ohio",16229.0,39,081,2018
"Putnam County, Ohio",28626.0,39,137,2018
