NAME,B19301D_001E,state,county,year
"Leon County, Texas",23886.0,48,289,2019
"Newton County, Texas",5182.0,48,351,2019
"Reeves County, Texas",23261.0,48,389,2019
"Travis County, Texas",47124.0,48,453,2019
"Collingsworth County, Texas",-666666666.0,48,087,2019
"Erath County, Texas",26672.0,48,143,2019
"Motley County, Texas",-666666666.0,48,345,2019
"Coleman County, Texas",,48,083,2019
"Medina County, Texas",19968.0,48,325,2019
"Henderson County, Texas",24050.0,48,213,2019
"Lamar County, Texas",8579.0,48,277,2019
"Kimble County, Texas",-666666666.0,48,267,2019
"Washington County, Texas",26460.0,48,477,2019
"Stephens County, Texas",27990.0,48,429,2019
"Andrews County, Texas",,48,003,2019
"Gonzales County, Texas",13259.0,48,177,2019
"Lynn County, Texas",,48,305,2019
"Zapata County, Texas",,48,505,2019
"Hood County, Texas",18412.0,48,221,2019
"King County, Texas",-666666666.0,48,269,2019
"Cherokee County, Texas",14443.0,48,073,2019
"Delta County, Texas",,48,119,2019
"Jones County, Texas",,48,253,2019
"Windham County, Connecticut",23590.0,09,015,2019
"New London County, Connecticut",38403.0,09,011,2019
"Middlesex County, Connecticut",40267.0,09,007,2019
"Tolland County, Connecticut",31740.0,09,013,2019
"Fairfield County, Connecticut",61561.0,09,001,2019
"Washington County, Florida",23472.0,12,133,2019
"Duval County, Florida",35864.0,12,031,2019
"Bradford County, Florida",34137.0,12,007,2019
"Brevard County, Florida",29126.0,12,009,2019
"Clay County, Florida",35209.0,12,019,2019
"Lafayette County, Florida",-666666666.0,12,067,2019
"Lake County, Florida",26637.0,12,069,2019
"Nassau County, Florida",48482.0,12,089,2019
"Pinellas County, Florida",31353.0,12,103,2019
"Polk County, Florida",30965.0,12,105,2019
"St. Lucie County, Florida",30917.0,12,111,2019
"Glades County, Florida",23335.0,12,043,2019
"Hendry County, Florida",19255.0,12,051,2019
"Indian River County, Florida",30185.0,12,061,2019
"Jackson County, Florida",42065.0,12,063,2019
"St. Johns County, Florida",44437.0,12,109,2019
"Seminole County, Florida",35397.0,12,117,2019
"Bay County, Florida",22063.0,12,005,2019
"Flagler County, Florida",27083.0,12,035,2019
"Gulf County, Florida",20936.0,12,045,2019
"Liberty County, Florida",18570.0,12,077,2019
"Osceola County, Florida",23523.0,12,097,2019
"Walton County, Florida",26167.0,12,131,2019
"Gadsden County, Florida",28223.0,12,039,2019
"Jefferson County, Florida",,12,065,2019
"Marion County, Florida",46368.0,12,083,2019
"Hardee County, Florida",28055.0,12,049,2019
"Okeechobee County, Florida",22537.0,12,093,2019
"Orange County, Florida",34420.0,12,095,2019
"Gilchrist County, Florida",33750.0,12,041,2019
"Suwannee County, Florida",7604.0,12,121,2019
"Alachua County, Florida",30267.0,12,001,2019
"Calhoun County, Florida",,12,013,2019
"Charlotte County, Florida",29570.0,12,015,2019
"Dixie County, Florida",21803.0,12,029,2019
"Martin County, Florida",43227.0,12,085,2019
"Sarasota County, Florida",34684.0,12,115,2019
"Manatee County, Florida",33009.0,12,081,2019
"Citrus County, Florida",31970.0,12,017,2019
"Baker County, Florida",77914.0,12,003,2019
"Santa Rosa County, Florida",27017.0,12,113,2019
"Leon County, Florida",37179.0,12,073,2019
"Broward County, Florida",34720.0,12,011,2019
"Monroe County, Florida",54632.0,12,087,2019
"Hernando County, Florida",39533.0,12,053,2019
"Hillsborough County, Florida",36952.0,12,057,2019
"Taylor County, Florida",20075.0,12,123,2019
"Wakulla County, Florida",20451.0,12,129,2019
"McDuffie County, Georgia",23561.0,13,189,2019
"Morgan County, Georgia",,13,211,2019
"Heard County, Georgia",16824.0,13,149,2019
"Dougherty County, Georgia",18654.0,13,095,2019
"Fannin County, Georgia",,13,111,2019
"Houston County, Georgia",24358.0,13,153,2019
"Laurens County, Georgia",38907.0,13,175,2019
"Spalding County, Georgia",42236.0,13,255,2019
"Telfair County, Georgia",,13,271,2019
"Warren County, Indiana",8935.0,18,171,2019
"Vermillion County, Indiana",34940.0,18,165,2019
"Wells County, Indiana",22252.0,18,179,2019
"Allen County, Indiana",26303.0,18,003,2019
"Decatur County, Indiana",38678.0,18,031,2019
"Delaware County, Indiana",26271.0,18,035,2019
"Floyd County, Indiana",44019.0,18,043,2019
"Jefferson County, Indiana",25248.0,18,077,2019
