NAME,B19301A_001E,state,county,year
"Wilson County, Texas",33102.0,48,493,2019
"Hockley County, Texas",24840.0,48,219,2019
"Midland County, Texas",41139.0,48,329,2019
"Llano County, Texas",38272.0,48,299,2019
"Fannin County, Texas",28809.0,48,147,2019
"Brazos County, Texas",29983.0,48,041,2019
"Gaines County, Texas",23619.0,48,165,2019
"Gray County, Texas",26703.0,48,179,2019
"Jack County, Texas",26302.0,48,237,2019
"Bosque County, Texas",27132.0,48,035,2019
"Bexar County, Texas",28668.0,48,029,2019
"Baylor County, Texas",23796.0,48,023,2019
"Denton County, Texas",43828.0,48,121,2019
"Galveston County, Texas",39293.0,48,167,2019
"Roberts County, Texas",31564.0,48,393,2019
"Uvalde County, Texas",20710.0,48,463,2019
"Bowie County, Texas",31069.0,48,037,2019
"Kent County, Texas",29927.0,48,263,2019
"Somervell County, Texas",31755.0,48,425,2019
"Hardin County, Texas",31465.0,48,199,2019
"Leon County, Texas",31438.0,48,289,2019
"Newton County, Texas",23861.0,48,351,2019
"Reeves County, Texas",19712.0,48,389,2019
"Travis County, Texas",48597.0,48,453,2019
"Collingsworth County, Texas",29841.0,48,087,2019
"Erath County, Texas",28061.0,48,143,2019
"Motley County, Texas",30412.0,48,345,2019
"Coleman County, Texas",28945.0,48,083,2019
"Medina County, Texas",28336.0,48,325,2019
"Henderson County, Texas",27106.0,48,213,2019
"Lamar County, Texas",26940.0,48,277,2019
"Kimble County, Texas",31184.0,48,267,2019
"Washington County, Texas",35631.0,48,477,2019
"Stephens County, Texas",26147.0,48,429,2019
"Andrews County, Texas",31892.0,48,003,2019
"Gonzales County, Texas",32533.0,48,177,2019
"Lynn County, Texas",26067.0,48,305,2019
"Zapata County, Texas",20509.0,48,505,2019
"Hood County, Texas",35279.0,48,221,2019
"King County, Texas",25988.0,48,269,2019
"Cherokee County, Texas",24181.0,48,073,2019
"Delta County, Texas",28892.0,48,119,2019
"Jones County, Texas",23436.0,48,253,2019
"Windham County, Connecticut",34489.0,09,015,2019
"New London County, Connecticut",43059.0,09,011,2019
"Middlesex County, Connecticut",48098.0,09,007,2019
"Tolland County, Connecticut",43569.0,09,013,2019
"Fairfield County, Connecticut",66808.0,09,001,2019
"Washington County, Florida",19842.0,12,133,2019
"Duval County, Florida",36909.0,12,031,2019
"Bradford County, Florida",23463.0,12,007,2019
"Brevard County, Florida",34489.0,12,009,2019
"Clay County, Florida",32235.0,12,019,2019
"Lafayette County, Florida",22217.0,12,067,2019
"Lake County, Florida",30285.0,12,069,2019
"Nassau County, Florida",37839.0,12,089,2019
"Pinellas County, Florida",38089.0,12,103,2019
"Polk County, Florida",26933.0,12,105,2019
"St. Lucie County, Florida",29407.0,12,111,2019
"Glades County, Florida",22073.0,12,043,2019
"Hendry County, Florida",19794.0,12,051,2019
"Indian River County, Florida",39605.0,12,061,2019
"Jackson County, Florida",23158.0,12,063,2019
"St. Johns County, Florida",45308.0,12,109,2019
"Seminole County, Florida",38228.0,12,117,2019
"Bay County, Florida",31619.0,12,005,2019
"Flagler County, Florida",31024.0,12,035,2019
"Gulf County, Florida",25948.0,12,045,2019
"Liberty County, Florida",20221.0,12,077,2019
"Osceola County, Florida",23344.0,12,097,2019
"Walton County, Florida",37099.0,12,131,2019
"Gadsden County, Florida",28163.0,12,039,2019
"Jefferson County, Florida",30016.0,12,065,2019
"Marion County, Florida",27169.0,12,083,2019
"Hardee County, Florida",19179.0,12,049,2019
"Okeechobee County, Florida",22717.0,12,093,2019
"Orange County, Florida",34820.0,12,095,2019
"Gilchrist County, Florida",22970.0,12,041,2019
"Suwannee County, Florida",24907.0,12,121,2019
"Alachua County, Florida",32457.0,12,001,2019
"Calhoun County, Florida",20489.0,12,013,2019
"Charlotte County, Florida",33214.0,12,015,2019
"Dixie County, Florida",23424.0,12,029,2019
"Martin County, Florida",45066.0,12,085,2019
"Sarasota County, Florida",42914.0,12,115,2019
"Manatee County, Florida",36156.0,12,081,2019
"Citrus County, Florida",27339.0,12,017,2019
"Baker County, Florida",27189.0,12,003,2019
"Santa Rosa County, Florida",33693.0,12,113,2019
"Leon County, Florida",36875.0,12,073,2019
"Broward County, Florida",38902.0,12,011,2019
"Monroe County, Florida",48555.0,12,087,2019
"Hernando County, Florida",26568.0,12,053,2019
"Hillsborough County, Florida",36075.0,12,057,2019
"Taylor County, Florida",20368.0,12,123,2019
"Wakulla County, Florida",27613.0,12,129,2019
"McDuffie County, Georgia",25735.0,13,189,2019
"Morgan County, Georgia",37983.0,13,211,2019
