NAME,B19301E_001E,state,county,year
"Washington County, Texas",,48,477,2019
"Stephens County, Texas",-666666666.0,48,429,2019
"Andrews County, Texas",,48,003,2019
"Gonzales County, Texas",,48,177,2019
"Lynn County, Texas",,48,305,2019
"Zapata County, Texas",-666666666.0,48,505,2019
"Hood County, Texas",279498.0,48,221,2019
"King County, Texas",-666666666.0,48,269,2019
"Cherokee County, Texas",,48,073,2019
"Delta County, Texas",-666666666.0,48,119,2019
"Jones County, Texas",-666666666.0,48,253,2019
"Windham County, Connecticut",,09,015,2019
"New London County, Connecticut",36744.0,09,011,2019
"Middlesex County, Connecticut",,09,007,2019
"Tolland County, Connecticut",,09,013,2019
"Fairfield County, Connecticut",65544.0,09,001,2019
"Washington County, Florida",22918.0,12,133,2019
"Duval County, Florida",19308.0,12,031,2019
"Bradford County, Florida",-666666666.0,12,007,2019
"Brevard County, Florida",36565.0,12,009,2019
"Clay County, Florida",49148.0,12,019,2019
"Lafayette County, Florida",42200.0,12,067,2019
"Lake County, Florida",32754.0,12,069,2019
"Nassau County, Florida",-666666666.0,12,089,2019
"Pinellas County, Florida",31455.0,12,103,2019
"Polk County, Florida",52838.0,12,105,2019
"St. Lucie County, Florida",10709.0,12,111,2019
"Glades County, Florida",-666666666.0,12,043,2019
"Hendry County, Florida",-666666666.0,12,051,2019
"Indian River County, Florida",,12,061,2019
"Jackson County, Florida",,12,063,2019
"St. Johns County, Florida",9708.0,12,109,2019
"Seminole County, Florida",21637.0,12,117,2019
"Bay County, Florida",13803.0,12,005,2019
"Flagler County, Florida",,12,035,2019
"Gulf County, Florida",-666666666.0,12,045,2019
"Liberty County, Florida",-666666666.0,12,077,2019
"Osceola County, Florida",12604.0,12,097,2019
"Walton County, Florida",-666666666.0,12,131,2019
"Gadsden County, Florida",,12,039,2019
"Jefferson County, Florida",-666666666.0,12,065,2019
"Marion County, Florida",12723.0,12,083,2019
"Hardee County, Florida",,12,049,2019
"Okeechobee County, Florida",6468.0,12,093,2019
"Orange County, Florida",13928.0,12,095,2019
"Gilchrist County, Florida",,12,041,2019
"Suwannee County, Florida",,12,121,2019
"Alachua County, Florida",16254.0,12,001,2019
"Calhoun County, Florida",-666666666.0,12,013,2019
"Charlotte County, Florida",19053.0,12,015,2019
"Dixie County, Florida",,12,029,2019
"Martin County, Florida",245675.0,12,085,2019
"Sarasota County, Florida",24753.0,12,115,2019
"Manatee County, Florida",19115.0,12,081,2019
"Citrus County, Florida",,12,017,2019
"Baker County, Florida",,12,003,2019
"Santa Rosa County, Florida",22598.0,12,113,2019
"Leon County, Florida",38713.0,12,073,2019
"Broward County, Florida",25902.0,12,011,2019
"Monroe County, Florida",,12,087,2019
"Hernando County, Florida",,12,053,2019
"Hillsborough County, Florida",19245.0,12,057,2019
"Taylor County, Florida",-666666666.0,12,123,2019
"Wakulla County, Florida",-666666666.0,12,129,2019
"McDuffie County, Georgia",,13,189,2019
"Morgan County, Georgia",-666666666.0,13,211,2019
"Heard County, Georgia",,13,149,2019
"Dougherty County, Georgia",16053.0,13,095,2019
"Fannin County, Georgia",,13,111,2019
"Houston County, Georgia",,13,153,2019
"Laurens County, Georgia",,13,175,2019
"Spalding County, Georgia",-666666666.0,13,255,2019
"Telfair County, Georgia",-666666666.0,13,271,2019
"Warren County, Indiana",-666666666.0,18,171,2019
"Vermillion County, Indiana",,18,165,2019
"Wells County, Indiana",-666666666.0,18,179,2019
"Allen County, Indiana",17099.0,18,003,2019
"Decatur County, Indiana",-666666666.0,18,031,2019
"Delaware County, Indiana",49799.0,18,035,2019
"Floyd County, Indiana",,18,043,2019
"Jefferson County, Indiana",-666666666.0,18,077,2019
